Feature1,Feature2,Target
1.7375,528,Yes
1.4875,584,No
1.675,616,No
1.8375,404,No
1.55,452,No
1.675,608,No
1.55,556,Yes
1.6,556,Yes
1.4625,600,No
1.8125,552,Yes
1.4625,600,No
1.2625,420,No
1.9125,420,No
1.675,408,No
1.4375,424,No
2.0,600,No
1.75,428,No
1.6875,564,Yes
1.65,604,No
1.2875,456,No
1.65,584,No
1.4125,512,Yes
1.5,528,Yes
1.8375,604,No
1.4875,516,Yes
1.9375,552,No
1.3375,504,No
1.325,540,No
1.275,512,No
1.45,548,Yes
1.65,624,No
1.8375,528,Yes
1.3875,640,No
1.975,544,No
1.875,504,No
1.5125,616,No
1.925,528,No
1.5125,412,No
1.8125,484,No
1.6125,404,No
1.7125,436,No
1.7125,416,No
1.8,632,No
1.875,436,No
1.9125,528,No
1.3375,612,No
1.575,548,Yes
1.575,448,No
1.6625,520,Yes
1.5,584,No
1.6125,540,Yes
1.65,576,Yes
1.5875,492,Yes
1.825,604,No
1.65,620,No
1.3,456,No
1.9875,512,No
2.0,428,No
1.8375,416,No
1.475,512,Yes
1.2875,584,No
1.675,412,No
1.85,444,No
1.45,576,No
1.7875,404,No
1.5875,504,Yes
1.6125,520,Yes
1.6,600,No
1.8125,600,No
1.9,540,No
1.3125,540,No
1.675,500,Yes
1.9875,568,No
1.75,504,Yes
1.7,416,No
1.5375,476,Yes
1.6,440,No
1.85,436,No
1.8125,556,No
1.9,548,No
1.625,420,
1.675,428,No
1.9875,488,No
1.65,584,No
1.8875,500,No
2.0,580,No
1.5,568,Yes
1.6375,444,No
1.525,500,Yes
1.65,448,No
1.275,556,No
1.4625,468,No
1.55,496,Yes
1.7625,528,Yes
1.625,584,No
1.9125,556,No
1.9625,636,No
1.275,568,No
1.7375,444,No
1.8125,572,No
1.5375,540,Yes
1.8625,588,No
1.6375,412,No
1.825,416,No
1.5125,620,No
1.525,544,Yes
1.2625,428,No
1.575,564,Yes
1.7625,592,No
1.2625,508,No
1.5625,520,Yes
1.45,628,No
1.7375,432,No
1.65,612,No
1.35,600,No
1.775,512,Yes
1.9125,452,No
1.8375,556,No
1.725,560,Yes
1.6,484,Yes
1.7625,440,No
1.925,488,No
1.5625,400,No
1.675,580,Yes
1.8625,544,No
1.55,480,Yes
1.5375,500,Yes
1.4,580,No
1.9875,540,No
1.9625,612,No
1.325,488,No
1.95,624,No
1.6875,400,No
1.8,612,No
1.4875,616,No
1.25,600,No
1.3375,556,No
1.8125,456,No
1.4375,480,No
1.4125,584,No
1.3875,432,No
1.875,608,No
1.525,432,No
1.425,436,No
1.5875,604,No
1.6625,624,No
1.2625,608,No
1.6375,500,Yes
1.525,560,Yes
1.5125,536,Yes
1.875,604,No
1.55,496,Yes
1.9625,500,
2.0,440,No
1.5125,548,Yes
1.9625,404,No
1.9625,424,No
1.5125,468,Yes
1.85,504,No
1.8875,532,No
1.7625,504,Yes
1.3125,464,No
1.425,568,No
1.9125,632,No
1.775,572,No
1.9875,632,No
1.7,600,No
1.65,612,No
1.3375,492,No
1.9,496,No
1.9875,424,No
1.7875,604,No
1.7875,420,No
1.3,608,No
1.725,492,Yes
1.2875,528,
1.3125,592,No
1.8,512,Yes
1.6375,568,Yes
1.8875,484,No
1.6125,500,Yes
1.825,508,No
1.675,596,No
1.925,480,No
1.7375,592,No
1.8875,424,No
1.4375,464,No
1.4,476,No
1.8625,560,No
1.9875,592,No
1.7625,476,No
1.6125,612,No
1.475,484,No
1.45,508,No
1.9375,640,No
1.475,556,Yes
1.5875,592,No
1.9625,424,No
1.925,400,No
1.5625,524,Yes
1.7,448,No
1.5625,516,
1.9,488,No
1.525,600,No
1.35,632,No
1.3875,620,No
1.9,472,No
1.25,524,No
1.9625,516,No
1.9625,512,No
1.25,592,No
1.825,576,No
1.6625,512,Yes
1.6375,516,Yes
1.9125,460,No
1.8375,556,No
1.55,472,Yes
1.7375,468,Yes
1.8,400,No
1.9,452,No
1.25,600,No
1.4375,584,No
2.0,596,No
1.725,404,No
1.3,612,No
1.5125,508,Yes
1.6,592,No
1.925,596,No
1.275,516,No
1.3875,548,No
1.5625,600,No
1.4375,412,No
1.875,400,No
1.7,428,No
1.5125,512,Yes
1.95,616,No
1.6,552,Yes
1.4125,408,No
1.5875,524,Yes
1.3,436,No
1.825,436,No
1.85,472,No
1.6125,580,
1.8125,532,No
1.8875,636,No
1.3,528,No
1.3875,488,No
1.4375,616,No
1.5625,508,Yes
1.5625,524,Yes
1.8375,596,No
1.5,424,No
1.725,512,Yes
1.6875,428,No
1.65,400,No
1.6125,624,No
1.7,616,No
1.525,408,No
1.9625,492,No
1.3625,488,No
1.9125,632,No
1.3,640,No
1.6875,428,No
1.6625,612,No
1.8875,624,No
1.625,584,Yes
1.3625,544,No
1.9625,408,No
1.475,600,No
1.9625,528,No
1.6375,508,Yes
1.25,584,No
1.9375,428,No
1.3,532,No
1.8,536,No
1.2875,524,No
1.4375,492,Yes
1.5375,452,No
1.4375,524,Yes
1.925,620,No
1.2625,580,No
1.85,568,No
1.5875,460,Yes
1.6375,412,No
1.575,604,No
1.4875,544,Yes
1.5375,612,No
1.3875,480,No
1.8625,452,No
1.675,520,Yes
1.9875,616,No
1.65,588,No
1.65,468,Yes
2.0,424,No
1.875,436,No
1.775,424,No
1.7,528,Yes
1.3875,488,No
1.275,480,No
1.25,472,No
1.65,588,No
1.7375,640,No
1.3625,472,No
1.775,540,Yes
1.7875,512,Yes
1.6,636,No
1.4,468,No
1.3875,404,No
1.625,400,No
1.8125,584,No
1.2625,416,No
2.0,476,No
1.875,440,No
1.8625,564,No
1.675,404,No
1.525,408,No
1.45,488,Yes
1.5625,616,No
1.3375,444,No
1.6,476,Yes
1.5625,416,No
1.3625,544,
1.5625,548,Yes
1.6625,516,Yes
1.875,432,No
1.75,532,Yes
1.325,608,No
1.2875,572,No
1.9625,536,No
1.9,604,No
1.8625,628,No
1.8,484,Yes
1.375,572,No
1.6,492,Yes
1.9375,464,No
1.6875,436,No
1.55,516,Yes
1.5,620,No
2.0,632,No
1.95,580,No
1.6875,488,Yes
1.3625,524,No
1.7,464,Yes
1.35,596,No
1.5375,600,No
1.675,464,No
1.85,452,No
1.675,432,No
1.8375,556,No
1.6875,404,No
1.4625,576,No
1.85,496,No
1.725,552,Yes
1.6375,432,No
1.5375,612,No
1.525,484,Yes
1.6375,568,Yes
1.7,580,No
1.3875,412,No
1.85,500,No
1.925,628,No
1.4,512,No
1.525,576,
1.55,532,Yes
1.675,488,Yes
1.75,544,
1.6125,440,No
1.45,420,No
1.85,468,No
1.4875,480,Yes
1.8375,564,No
1.55,540,Yes
1.5125,560,Yes
1.4,548,No
1.975,532,
1.475,464,No
1.85,544,No
1.6875,496,Yes
1.3875,548,No
2.0,628,No
1.75,444,No
1.475,488,Yes
1.3875,608,No
1.35,564,No
1.325,484,No
1.5875,480,Yes
1.4125,504,No
1.625,624,No
1.8875,520,No
1.475,420,No
1.9625,504,No
1.825,556,No
1.4375,532,Yes
1.9,444,No
1.3,576,No
1.675,624,No
1.3875,608,No
1.55,424,No
1.8875,436,No
1.975,576,No
1.5,464,No
1.6875,500,Yes
1.9,480,No
1.525,508,Yes
1.4375,628,No
1.95,580,No
1.725,404,No
1.8,636,No
1.9,612,No
1.7625,568,No
1.9625,400,No
1.725,600,No
1.4125,608,No
1.625,540,Yes
1.9625,600,No
1.3,500,No
1.675,512,Yes
1.525,480,Yes
1.6,440,No
1.775,556,No
1.375,440,No
1.4625,540,Yes
1.825,592,No
1.3875,632,No
1.35,552,No
1.3625,556,No
1.9625,536,No
1.7875,612,No
1.45,532,No
2.0,616,No
1.7125,584,No
1.325,492,No
1.8125,612,No
1.4,484,No
1.7375,416,No
1.7625,620,No
1.35,528,No
1.8625,628,No
1.575,540,Yes
1.9625,584,No
1.2625,476,No
1.3,472,No
1.6,536,Yes
1.7,604,No
1.7125,568,Yes
1.475,464,No
1.3375,632,No
1.8375,576,No
1.8,568,No
1.25,532,No
1.5125,432,No
1.8875,500,No
1.45,404,No
1.325,608,No
1.55,432,No
1.8,432,No
1.2875,556,No
1.6875,464,Yes
1.3125,400,No
1.9875,496,No
1.625,640,No
1.475,568,Yes
2.0,556,No
1.7875,564,Yes
1.9125,496,No
1.725,552,Yes
1.575,536,Yes
1.3625,408,No
1.5625,596,No
1.475,544,Yes
1.725,572,No
1.275,572,No
1.8,600,No
1.4,516,No
1.8625,548,No
1.5875,532,Yes
1.9625,444,No
1.4875,472,Yes
1.5875,544,Yes
1.3375,572,No
2.0,632,No
1.75,632,No
1.725,592,No
1.25,640,No
1.275,464,No
1.4,436,No
1.5875,624,No
1.95,616,No
1.9875,592,No
1.85,584,No
1.55,444,No
1.9375,460,No
1.65,492,Yes
1.7125,472,Yes
1.9,428,No
1.3125,520,No
1.9625,480,No
1.7875,464,No
1.8,488,No
1.6375,544,Yes
1.8,612,No
2.0,460,No
1.825,420,No
1.5,428,No
1.4375,496,Yes
1.9125,468,No
1.5,496,Yes
1.375,444,No
1.9875,456,No
1.7,632,No
1.6875,500,Yes
1.675,560,Yes
1.475,576,No
1.4875,500,Yes
1.95,584,No
1.4625,524,Yes
1.825,436,No
1.75,460,No
1.85,424,No
1.4125,464,No
1.425,488,No
1.625,500,Yes
1.25,480,No
1.9,484,No
1.9125,628,No
1.9125,424,No
1.275,452,No
1.4375,456,No
1.525,608,No
1.95,424,No
1.375,432,No
1.3875,600,No
1.3625,588,No
1.6375,428,No
1.4375,596,No
1.3375,632,No
1.7125,488,Yes
1.3875,512,No
1.5375,468,Yes
1.5875,520,Yes
1.9,516,No
1.3375,604,No
1.9625,552,No
1.5875,536,Yes
1.6875,468,Yes
1.5625,632,No
1.3375,564,No
1.9625,552,No
1.9875,464,No
1.8625,452,No
1.5875,520,Yes
1.5875,492,Yes
1.7,536,Yes
1.75,572,Yes
1.6875,636,No
1.575,576,No
1.9125,532,No
1.45,408,No
1.35,544,
1.65,568,Yes
1.9,556,No
1.4875,500,Yes
1.4,616,No
1.5875,488,Yes
1.8375,572,No
1.6,552,Yes
1.4,456,No
1.8125,620,No
1.675,592,No
2.0,412,No
1.3125,512,No
1.4625,484,No
1.875,496,No
1.3,448,No
1.825,468,No
1.55,528,Yes
1.2625,460,No
1.3625,576,No
1.9375,564,No
1.6125,572,Yes
1.8625,404,No
1.975,616,No
1.8,536,Yes
1.3,564,No
1.925,532,No
1.9375,516,No
1.65,632,No
1.9125,616,No
1.25,448,No
1.4625,448,No
1.6375,468,Yes
1.825,524,No
1.85,524,No
1.375,536,No
1.5,632,No
1.5625,552,Yes
1.55,580,No
1.5125,604,No
1.975,512,No
1.575,592,No
1.85,512,No
1.4,608,No
1.65,572,Yes
1.6625,624,No
1.75,460,No
1.675,620,No
1.25,572,No
1.5,584,No
1.8375,624,No
1.925,436,No
1.3125,516,No
1.5875,496,Yes
1.45,552,No
1.3,476,No
1.625,416,No
1.3,400,No
1.7125,516,Yes
1.275,592,No
1.9,408,No
1.525,576,Yes
1.7,452,
1.9,620,No
1.7,516,Yes
1.3625,596,No
1.3625,412,No
1.475,468,No
1.45,544,No
1.5,496,
1.4125,588,No
1.35,400,No
1.8125,608,No
1.25,580,No
1.875,456,No
1.8,432,No
1.4,456,No
1.2875,592,No
1.25,624,No
1.85,492,No
1.7375,412,No
1.6375,444,No
1.6625,632,No
1.5875,628,No
